2015-04-26_14:45:08 HA_Modbus_1 DISCONNECTED
2015-04-26_14:46:09 HA_Modbus_1 CONNECTED
2015-04-26_14:57:23 HA_SDM630M_1 Charge__kAh: 0.067 kAh
2015-04-26_14:58:18 HA_SDM630M_1 Power_L1__VA: 43.8 VA
2015-04-26_14:58:19 HA_SDM630M_1 CosPhi_L1: -0.6 %
2015-04-26_14:58:19 HA_SDM630M_1 Voltage_Avr__V: 80.6 V
2015-04-26_14:58:19 HA_SDM630M_1 Current_Avr__A: 0.1 V
2015-04-26_14:58:19 HA_SDM630M_1 Current_Sum__A: 0.33 A
2015-04-26_14:58:19 HA_SDM630M_1 Power_Sum__W: 45.0 W
2015-04-26_14:58:19 HA_SDM630M_1 Power_Sum__VA: 45.0 VA
2015-04-26_14:59:11 HA_SDM630M_1 THD_Voltage_avr_LN__%: 1.2 %
2015-04-26_14:59:11 HA_SDM630M_1 THD_Current_avr__%: 0.8 %
2015-04-26_14:59:11 HA_SDM630M_1 PowerFactor_inverted: -0.8
2015-04-26_14:59:12 HA_SDM630M_1 CosPhi: -0.6 %
2015-04-26_14:59:12 HA_SDM630M_1 Energy_import__kWh: 0.013 kWh
2015-04-26_14:59:13 HA_SDM630M_1 Power_Sum__W: 44.1 W
2015-04-26_14:59:13 HA_SDM630M_1 Power_Sum__VA: 44.1 VA
2015-04-26_14:59:14 HA_SDM630M_1 Power_L1__VA: 44.1 VA
2015-04-26_14:59:17 HA_SDM630M_1 Energy_total__kWh: 0.013 kWh
2015-04-26_14:59:17 HA_SDM630M_1 Energy_L1_import__kWh: 0.013 kWh
2015-04-26_14:59:17 HA_SDM630M_1 Energy_L1_total__kWh: 0.013 kWh
2015-04-26_14:59:18 HA_SDM630M_1 Voltage_L1__V: 241.9 V
2015-04-26_14:59:23 HA_SDM630M_1 Power_L1__W: 45 W
2015-04-26_14:59:23 HA_SDM630M_1 Power_L1__VA: 44.7 VA
2015-04-26_14:59:26 HA_SDM630M_1 Voltage_L1_to_L2__V: 241.6 V
2015-04-26_14:59:26 HA_SDM630M_1 Voltage_L3_to_L1__V: 241.6 V
2015-04-26_14:59:27 HA_SDM630M_1 Energy_apparent__kVAh: 0.015 kVAh
2015-04-26_14:59:27 HA_SDM630M_1 Charge__kAh: 0.076 kAh
2015-04-26_15:00:18 HA_SDM630M_1 Power_L1__W: 44 W
2015-04-26_15:00:18 HA_SDM630M_1 Power_L1__VA: 43.5 VA
2015-04-26_15:00:19 HA_SDM630M_1 CosPhi_L1: 0.3 %
2015-04-26_15:00:19 HA_SDM630M_1 Voltage_Avr__V: 80.3 V
2015-04-26_15:00:19 HA_SDM630M_1 Current_Sum__A: 0.32 A
2015-04-26_15:00:19 HA_SDM630M_1 Power_Sum__W: 43.8 W
2015-04-26_15:00:19 HA_SDM630M_1 Power_Sum__VA: 43.8 VA
2015-04-26_15:01:12 HA_SDM630M_1 CosPhi: -0.5 %
2015-04-26_15:01:12 HA_SDM630M_1 Energy_import__kWh: 0.014 kWh
2015-04-26_15:01:13 HA_SDM630M_1 Power_Sum__W: 43.9 W
2015-04-26_15:01:13 HA_SDM630M_1 Power_Sum__VA: 43.9 VA
2015-04-26_15:01:19 HA_SDM630M_1 Power_L1__VA: 43.9 VA
2015-04-26_15:01:22 HA_SDM630M_1 Energy_total__kWh: 0.014 kWh
2015-04-26_15:01:22 HA_SDM630M_1 Energy_L1_import__kWh: 0.014 kWh
2015-04-26_15:01:22 HA_SDM630M_1 Energy_L1_total__kWh: 0.014 kWh
2015-04-26_15:01:23 HA_SDM630M_1 Energy_apparent__kVAh: 0.016 kVAh
2015-04-26_15:01:23 HA_SDM630M_1 Charge__kAh: 0.083 kAh
2015-04-26_15:02:13 HA_SDM630M_1 Current_L1__A: 0.00 A
2015-04-26_15:02:16 HA_SDM630M_1 Current_N__A: 0.13 A
2015-04-26_15:02:18 HA_SDM630M_1 Power_L1__W: 0 W
2015-04-26_15:02:18 HA_SDM630M_1 Power_L1__VA: 0.0 VA
2015-04-26_15:02:19 HA_SDM630M_1 CosPhi_L1: -10.7 %
2015-04-26_15:02:19 HA_SDM630M_1 Voltage_Avr__V: 80.6 V
2015-04-26_15:02:19 HA_SDM630M_1 Current_Avr__A: 0.0 V
2015-04-26_15:02:19 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_15:02:19 HA_SDM630M_1 Power_Sum__W: 0.0 W
2015-04-26_15:02:19 HA_SDM630M_1 Power_Sum__VA: 0.0 VA
2015-04-26_15:03:12 HA_SDM630M_1 CosPhi: 10.9 %
2015-04-26_15:03:12 HA_SDM630M_1 Energy_import__kWh: 0.015 kWh
2015-04-26_15:03:22 HA_SDM630M_1 Energy_total__kWh: 0.015 kWh
2015-04-26_15:03:22 HA_SDM630M_1 Energy_L1_import__kWh: 0.015 kWh
2015-04-26_15:03:22 HA_SDM630M_1 Energy_L1_total__kWh: 0.015 kWh
2015-04-26_15:03:23 HA_SDM630M_1 Energy_apparent__kVAh: 0.017 kVAh
2015-04-26_15:03:23 HA_SDM630M_1 Charge__kAh: 0.088 kAh
2015-04-26_15:04:12 HA_SDM630M_1 Voltage_Avr_L_to_L__V: 160.5 V
2015-04-26_15:04:17 HA_SDM630M_1 Current_N__A: 0.12 A
2015-04-26_15:04:21 HA_SDM630M_1 CosPhi_L1: 149.8 %
2015-04-26_15:04:21 HA_SDM630M_1 Voltage_Avr__V: 80.3 V
2015-04-26_15:04:21 HA_SDM630M_1 Current_Sum__A: 0.12 A
2015-04-26_15:05:11 HA_SDM630M_1 THD_Voltage_avr_LN__%: 75629330584666661837427930300416.0 %
2015-04-26_15:05:11 HA_SDM630M_1 THD_Current_avr__%: 50419552111210015072113053925376.0 %
2015-04-26_15:05:11 HA_SDM630M_1 PowerFactor_inverted: 127.7
2015-04-26_15:05:12 HA_SDM630M_1 CosPhi: 193.3 %
2015-04-26_15:05:13 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_15:05:18 HA_SDM630M_1 Voltage_L1__V: 240.9 V
2015-04-26_15:05:26 HA_SDM630M_1 Voltage_L1_to_L2__V: 240.7 V
2015-04-26_15:05:26 HA_SDM630M_1 Voltage_L3_to_L1__V: 240.7 V
2015-04-26_15:05:27 HA_SDM630M_1 Energy_apparent__kVAh: 0.018 kVAh
2015-04-26_15:05:27 HA_SDM630M_1 Charge__kAh: 0.091 kAh
2015-04-26_15:06:19 HA_SDM630M_1 CosPhi_L1: 258.2 %
2015-04-26_15:06:19 HA_SDM630M_1 Current_Sum__A: 0.12 A
2015-04-26_15:07:12 HA_SDM630M_1 CosPhi: 57.7 %
2015-04-26_15:07:13 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_15:07:17 HA_SDM630M_1 Current_N__A: 0.13 A
2015-04-26_15:07:23 HA_SDM630M_1 Charge__kAh: 0.093 kAh
2015-04-26_15:08:16 HA_SDM630M_1 Current_N__A: 0.12 A
2015-04-26_15:08:19 HA_SDM630M_1 CosPhi_L1: -0.4 %
2015-04-26_15:08:19 HA_SDM630M_1 Voltage_Avr__V: 80.5 V
2015-04-26_15:08:19 HA_SDM630M_1 Current_Sum__A: 0.12 A
2015-04-26_15:09:12 HA_SDM630M_1 CosPhi: 136.9 %
2015-04-26_15:09:23 HA_SDM630M_1 Energy_apparent__kVAh: 0.019 kVAh
2015-04-26_15:09:23 HA_SDM630M_1 Charge__kAh: 0.096 kAh
2015-04-26_15:10:19 HA_SDM630M_1 CosPhi_L1: 186.4 %
2015-04-26_15:10:19 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_15:11:11 HA_SDM630M_1 THD_Voltage_avr_LN__%: 73974983149254212779247665152.0 %
2015-04-26_15:11:11 HA_SDM630M_1 THD_Current_avr__%: 49316655432836141852831776768.0 %
2015-04-26_15:11:11 HA_SDM630M_1 PowerFactor_inverted: -32.2
2015-04-26_15:11:12 HA_SDM630M_1 CosPhi: 22.1 %
2015-04-26_15:11:18 HA_SDM630M_1 Voltage_L1__V: 241.3 V
